zone,zone_name,municipality,year,accidents
73,Lijmiliya 73,Al Sheehaniya Municipality,2020,108
73,Lijmiliya 73,Al Sheehaniya Municipality,2021,103
73,Lijmiliya 73,Al Sheehaniya Municipality,2022,79
73,Lijmiliya 73,Al Sheehaniya Municipality,2023,118
73,Lijmiliya 73,Al Sheehaniya Municipality,2024,88
73,Lijmiliya 73,Al Sheehaniya Municipality,2025,22
74,Simaisma - Al Jeryan - Al Khor 74,Al Khor and Al Thakhira Municipality,2020,4700
74,Simaisma - Al Jeryan - Al Khor 74,Al Khor and Al Thakhira Municipality,2021,5420
74,Simaisma - Al Jeryan - Al Khor 74,Al Khor and Al Thakhira Municipality,2022,6338
74,Simaisma - Al Jeryan - Al Khor 74,Al Khor and Al Thakhira Municipality,2023,5824
74,Simaisma - Al Jeryan - Al Khor 74,Al Khor and Al Thakhira Municipality,2024,6335
74,Simaisma - Al Jeryan - Al Khor 74,Al Khor and Al Thakhira Municipality,2025,931
75,Al Thakhira-Rass Laffan-Umm Birka 75,Al Khor and Al Thakhira Municipality,2020,585
75,Al Thakhira-Rass Laffan-Umm Birka 75,Al Khor and Al Thakhira Municipality,2021,698
75,Al Thakhira-Rass Laffan-Umm Birka 75,Al Khor and Al Thakhira Municipality,2022,1030
75,Al Thakhira-Rass Laffan-Umm Birka 75,Al Khor and Al Thakhira Municipality,2023,1337
75,Al Thakhira-Rass Laffan-Umm Birka 75,Al Khor and Al Thakhira Municipality,2024,1549
75,Al Thakhira-Rass Laffan-Umm Birka 75,Al Khor and Al Thakhira Municipality,2025,285
76,Al Ghuwairiya 76,Al Khor and Al Thakhira Municipality,2020,121
76,Al Ghuwairiya 76,Al Khor and Al Thakhira Municipality,2021,118
76,Al Ghuwairiya 76,Al Khor and Al Thakhira Municipality,2022,145
76,Al Ghuwairiya 76,Al Khor and Al Thakhira Municipality,2023,140
76,Al Ghuwairiya 76,Al Khor and Al Thakhira Municipality,2024,195
76,Al Ghuwairiya 76,Al Khor and Al Thakhira Municipality,2025,22
77,Fuwairit-Ain Sinan-Madinat Al Kaaban 77,Al Shamal Municipality,2020,78
77,Fuwairit-Ain Sinan-Madinat Al Kaaban 77,Al Shamal Municipality,2021,102
77,Fuwairit-Ain Sinan-Madinat Al Kaaban 77,Al Shamal Municipality,2022,90
77,Fuwairit-Ain Sinan-Madinat Al Kaaban 77,Al Shamal Municipality,2023,101
77,Fuwairit-Ain Sinan-Madinat Al Kaaban 77,Al Shamal Municipality,2024,180
77,Fuwairit-Ain Sinan-Madinat Al Kaaban 77,Al Shamal Municipality,2025,17
78,Abu Dhalouf-Al Zubara 78,Al Shamal Municipality,2020,71
78,Abu Dhalouf-Al Zubara 78,Al Shamal Municipality,2021,69
78,Abu Dhalouf-Al Zubara 78,Al Shamal Municipality,2022,63
78,Abu Dhalouf-Al Zubara 78,Al Shamal Municipality,2023,68
78,Abu Dhalouf-Al Zubara 78,Al Shamal Municipality,2024,128
78,Abu Dhalouf-Al Zubara 78,Al Shamal Municipality,2025,10
79,Al Ruwais-Al Shamal 79,Al Shamal Municipality,2020,599
79,Al Ruwais-Al Shamal 79,Al Shamal Municipality,2021,771
79,Al Ruwais-Al Shamal 79,Al Shamal Municipality,2022,623
79,Al Ruwais-Al Shamal 79,Al Shamal Municipality,2023,596
79,Al Ruwais-Al Shamal 79,Al Shamal Municipality,2024,774
79,Al Ruwais-Al Shamal 79,Al Shamal Municipality,2025,105
80,Al Sheehaniya 80,Al Sheehaniya Municipality,2020,2853
80,Al Sheehaniya 80,Al Sheehaniya Municipality,2021,4084
80,Al Sheehaniya 80,Al Sheehaniya Municipality,2022,4199
80,Al Sheehaniya 80,Al Sheehaniya Municipality,2023,3588
80,Al Sheehaniya 80,Al Sheehaniya Municipality,2024,3676
80,Al Sheehaniya 80,Al Sheehaniya Municipality,2025,536
81,Mebaireek 81,Al Rayyan Municipality,2020,1376
81,Mebaireek 81,Al Rayyan Municipality,2021,2233
81,Mebaireek 81,Al Rayyan Municipality,2022,2442
81,Mebaireek 81,Al Rayyan Municipality,2023,2231
81,Mebaireek 81,Al Rayyan Municipality,2024,2422
81,Mebaireek 81,Al Rayyan Municipality,2025,356
82,Rawdat Rashed 82,Al Sheehaniya Municipality,2020,829
82,Rawdat Rashed 82,Al Sheehaniya Municipality,2021,1099
82,Rawdat Rashed 82,Al Sheehaniya Municipality,2022,1235
82,Rawdat Rashed 82,Al Sheehaniya Municipality,2023,1108
82,Rawdat Rashed 82,Al Sheehaniya Municipality,2024,989
82,Rawdat Rashed 82,Al Sheehaniya Municipality,2025,178
83,Al Karaana 83,Al Rayyan Municipality,2020,336
83,Al Karaana 83,Al Rayyan Municipality,2021,465
83,Al Karaana 83,Al Rayyan Municipality,2022,656
83,Al Karaana 83,Al Rayyan Municipality,2023,368
83,Al Karaana 83,Al Rayyan Municipality,2024,317
83,Al Karaana 83,Al Rayyan Municipality,2025,46
84,Umm Bab 84,Al Sheehaniya Municipality,2020,213
84,Umm Bab 84,Al Sheehaniya Municipality,2021,318
84,Umm Bab 84,Al Sheehaniya Municipality,2022,352
84,Umm Bab 84,Al Sheehaniya Municipality,2023,179
84,Umm Bab 84,Al Sheehaniya Municipality,2024,167
84,Umm Bab 84,Al Sheehaniya Municipality,2025,16
85,Al Nasraniya 85,Al Sheehaniya Municipality,2020,103
85,Al Nasraniya 85,Al Sheehaniya Municipality,2021,97
85,Al Nasraniya 85,Al Sheehaniya Municipality,2022,106
85,Al Nasraniya 85,Al Sheehaniya Municipality,2023,80
85,Al Nasraniya 85,Al Sheehaniya Municipality,2024,114
85,Al Nasraniya 85,Al Sheehaniya Municipality,2025,31
86,Dukhan 86,Al Sheehaniya Municipality,2020,321
86,Dukhan 86,Al Sheehaniya Municipality,2021,424
86,Dukhan 86,Al Sheehaniya Municipality,2022,484
86,Dukhan 86,Al Sheehaniya Municipality,2023,387
86,Dukhan 86,Al Sheehaniya Municipality,2024,301
86,Dukhan 86,Al Sheehaniya Municipality,2025,50
90,Al Wakra 90,Al Wakra Municipality,2020,6562
90,Al Wakra 90,Al Wakra Municipality,2021,9630
90,Al Wakra 90,Al Wakra Municipality,2022,9938
90,Al Wakra 90,Al Wakra Municipality,2023,9227
90,Al Wakra 90,Al Wakra Municipality,2024,10204
90,Al Wakra 90,Al Wakra Municipality,2025,1436
91,Al Thumama - Al Wukair-Al Mashaf 91,Al Wakra Municipality,2020,3357
91,Al Thumama - Al Wukair-Al Mashaf 91,Al Wakra Municipality,2021,5535
91,Al Thumama - Al Wukair-Al Mashaf 91,Al Wakra Municipality,2022,6528
91,Al Thumama - Al Wukair-Al Mashaf 91,Al Wakra Municipality,2023,6966
91,Al Thumama - Al Wukair-Al Mashaf 91,Al Wakra Municipality,2024,8054
91,Al Thumama - Al Wukair-Al Mashaf 91,Al Wakra Municipality,2025,1362
92,Mesaieed 92,Al Wakra Municipality,2020,1174
92,Mesaieed 92,Al Wakra Municipality,2021,1414
92,Mesaieed 92,Al Wakra Municipality,2022,1481
92,Mesaieed 92,Al Wakra Municipality,2023,1274
92,Mesaieed 92,Al Wakra Municipality,2024,1149
92,Mesaieed 92,Al Wakra Municipality,2025,206
93,Mesaieed Industrial Area 93,Al Wakra Municipality,2020,310
93,Mesaieed Industrial Area 93,Al Wakra Municipality,2021,488
93,Mesaieed Industrial Area 93,Al Wakra Municipality,2022,497
93,Mesaieed Industrial Area 93,Al Wakra Municipality,2023,436
93,Mesaieed Industrial Area 93,Al Wakra Municipality,2024,518
93,Mesaieed Industrial Area 93,Al Wakra Municipality,2025,136
94,Shagra 94,Al Wakra Municipality,2020,429
94,Shagra 94,Al Wakra Municipality,2021,522
94,Shagra 94,Al Wakra Municipality,2022,552
94,Shagra 94,Al Wakra Municipality,2023,457
94,Shagra 94,Al Wakra Municipality,2024,440
94,Shagra 94,Al Wakra Municipality,2025,129
95,Al Kharrara 95,Al Wakra Municipality,2020,78
95,Al Kharrara 95,Al Wakra Municipality,2021,99
95,Al Kharrara 95,Al Wakra Municipality,2022,84
95,Al Kharrara 95,Al Wakra Municipality,2023,63
95,Al Kharrara 95,Al Wakra Municipality,2024,67
95,Al Kharrara 95,Al Wakra Municipality,2025,13
96,Abu Samra 96,Al Rayyan Municipality,2020,186
96,Abu Samra 96,Al Rayyan Municipality,2021,260
96,Abu Samra 96,Al Rayyan Municipality,2022,559
96,Abu Samra 96,Al Rayyan Municipality,2023,570
96,Abu Samra 96,Al Rayyan Municipality,2024,689
96,Abu Samra 96,Al Rayyan Municipality,2025,112
97,Sawda Natheel 97,Al Rayyan Municipality,2020,1
97,Sawda Natheel 97,Al Rayyan Municipality,2021,6
97,Sawda Natheel 97,Al Rayyan Municipality,2022,2
97,Sawda Natheel 97,Al Rayyan Municipality,2023,9
97,Sawda Natheel 97,Al Rayyan Municipality,2024,173
97,Sawda Natheel 97,Al Rayyan Municipality,2025,52
98,Al Adaid 98,Al Wakra Municipality,2020,36
98,Al Adaid 98,Al Wakra Municipality,2021,53
98,Al Adaid 98,Al Wakra Municipality,2022,41
98,Al Adaid 98,Al Wakra Municipality,2023,28
98,Al Adaid 98,Al Wakra Municipality,2024,39
98,Al Adaid 98,Al Wakra Municipality,2025,4
99,99,Al Shamal Municipality,2021,1
99,99,Al Shamal Municipality,2022,1
99,99,Al Shamal Municipality,2023,2
